epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,4555.51,0.56467,0.35358,0.90852,0.95836,0.9467,0.97543,0.78815,0.82816,0.42554,1.02295,0.000297081,0.000297081,0.000297081
150,4586,0.57187,0.35913,0.91211,0.95163,0.94965,0.97336,0.7858,0.83123,0.42876,1.02296,0.000291582,0.000291582,0.000291582
151,4616.5,0.57643,0.36123,0.91673,0.96074,0.94655,0.97294,0.78959,0.82082,0.42249,1.01681,0.000286083,0.000286083,0.000286083
152,4647.09,0.57018,0.35797,0.91298,0.95694,0.95105,0.97467,0.7884,0.821,0.41712,1.01806,0.000280583,0.000280583,0.000280583
153,4677.63,0.57055,0.3582,0.90967,0.96138,0.94756,0.97281,0.79102,0.81831,0.41694,1.01391,0.000275084,0.000275084,0.000275084
154,4708.13,0.57294,0.3545,0.91067,0.96357,0.94802,0.97405,0.79079,0.8149,0.41311,1.01041,0.000269584,0.000269584,0.000269584
155,4738.73,0.55834,0.3526,0.90993,0.95665,0.95073,0.97341,0.79231,0.82054,0.40434,1.0136,0.000264085,0.000264085,0.000264085
156,4769.34,0.56466,0.35443,0.9091,0.96273,0.94345,0.97388,0.79354,0.82322,0.40073,1.02046,0.000258585,0.000258585,0.000258585
157,4800.11,0.56464,0.34964,0.90855,0.95691,0.94933,0.97308,0.79502,0.82208,0.39519,1.01865,0.000253086,0.000253086,0.000253086
158,4830.67,0.55928,0.34663,0.90627,0.9608,0.94844,0.97313,0.79499,0.8183,0.40684,1.01802,0.000247586,0.000247586,0.000247586
159,4861.18,0.55056,0.3473,0.90654,0.96535,0.94654,0.97355,0.79299,0.82038,0.41018,1.01918,0.000242087,0.000242087,0.000242087
160,4891.91,0.55043,0.34603,0.90474,0.96416,0.94763,0.9756,0.79195,0.81744,0.41036,1.01436,0.000236587,0.000236587,0.000236587
161,4922.4,0.55669,0.34769,0.90379,0.97184,0.94235,0.97444,0.79289,0.8216,0.40263,1.01081,0.000231088,0.000231088,0.000231088
162,4952.99,0.54572,0.34805,0.89707,0.96871,0.94294,0.9739,0.79078,0.81655,0.40218,1.01045,0.000225589,0.000225589,0.000225589
163,4983.53,0.54582,0.34074,0.89887,0.95776,0.95056,0.97438,0.7894,0.81815,0.39832,1.0115,0.000220089,0.000220089,0.000220089
164,5014.09,0.53724,0.34013,0.89649,0.96928,0.94176,0.97421,0.79219,0.82117,0.40319,1.01676,0.00021459,0.00021459,0.00021459
165,5044.62,0.53762,0.34018,0.90495,0.95579,0.94945,0.97596,0.79414,0.82285,0.39835,1.01791,0.00020909,0.00020909,0.00020909
166,5075.18,0.54767,0.34224,0.89956,0.9611,0.94121,0.97488,0.7948,0.81805,0.39627,1.01312,0.000203591,0.000203591,0.000203591
167,5105.84,0.54718,0.34664,0.9062,0.95815,0.94369,0.97419,0.79224,0.81866,0.39708,1.01363,0.000198091,0.000198091,0.000198091
168,5136.38,0.5333,0.33516,0.898,0.95893,0.9497,0.97445,0.79211,0.82551,0.39967,1.0192,0.000192592,0.000192592,0.000192592
169,5166.6,0.52569,0.32164,0.89466,0.96387,0.94247,0.97416,0.78969,0.82346,0.40309,1.01873,0.000187092,0.000187092,0.000187092
170,5197.26,0.53873,0.33224,0.90299,0.94912,0.95364,0.97351,0.79019,0.82459,0.41805,1.02174,0.000181593,0.000181593,0.000181593
171,5227.78,0.5312,0.33176,0.89844,0.95012,0.94651,0.97368,0.79348,0.82428,0.42126,1.01866,0.000176094,0.000176094,0.000176094
172,5258.39,0.53027,0.33187,0.89657,0.94847,0.95313,0.97418,0.7942,0.83037,0.41847,1.02093,0.000170594,0.000170594,0.000170594
173,5288.86,0.53631,0.33365,0.90686,0.96312,0.93836,0.97506,0.79345,0.83196,0.41326,1.01817,0.000165095,0.000165095,0.000165095
174,5319.4,0.53242,0.33378,0.89767,0.9656,0.9387,0.97607,0.79266,0.83387,0.40997,1.02214,0.000159595,0.000159595,0.000159595
175,5349.85,0.52281,0.32794,0.89161,0.96354,0.93961,0.97326,0.79116,0.82834,0.40498,1.02066,0.000154096,0.000154096,0.000154096
176,5380.52,0.5226,0.32466,0.89151,0.96552,0.93793,0.97318,0.79288,0.82997,0.41178,1.02194,0.000148596,0.000148596,0.000148596
177,5411.1,0.52798,0.32542,0.89611,0.9741,0.93148,0.97461,0.79074,0.83257,0.41005,1.02616,0.000143097,0.000143097,0.000143097
178,5441.49,0.52454,0.32765,0.8908,0.97302,0.93202,0.9747,0.79331,0.83138,0.40812,1.02582,0.000137597,0.000137597,0.000137597
179,5471.73,0.52898,0.33109,0.89825,0.96874,0.9392,0.97708,0.79574,0.82983,0.40335,1.02637,0.000132098,0.000132098,0.000132098
